gene,product,location
iarS,Isoleucine--tRNA ligase,[554538:557424](-)
ribF,Riboflavin kinase,[557583:558525](-)
folA,Dihydrofolate reductase,[558568:559069](-)
purK,5-(carboxyamino)imidazole ribonucleotide synthase,[559065:560136](-)
purE,5-(carboxyamino)imidazole ribonucleotide mutase,[560137:560617](-)
pgaM,"Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)",[560699:561386](-)
sppA,Protease,[561537:563424](+)
N/A,Lactoylglutathione lyase,[563522:563900](+)
N/A,UPF0126 membrane protein,[563933:564569](-)
N/A,Glutathione peroxidase,[564699:565245](-)
N/A,Fe(2+)/Mn(2+) transporter pcl1,[565285:566014](-)
N/A,putative ABC transporter ATP-binding protein YfmR,[566033:567815](-)
N/A,26 kDa periplasmic immunogenic protein,[567956:568685](+)
N/A,hypothetical protein,[568762:569068](+)
N/A,Transcriptional regulatory protein BasR,[569101:569767](+)
phoQ,Histidine kinase,[569879:571184](+)
N/A,Inner membrane protein,[571183:571537](+)
N/A,Gluconolactonase,[571622:572516](-)
phaZ,Poly(3-hydroxybutyrate) depolymerase,[572612:573920](-)
N/A,Glutathione transferase,[573961:574618](+)
guaA,GMP synthase (glutamine-hydrolyzing),[574634:575336](-)
N/A,hypothetical protein,[575408:575666](-)
acnA,Aconitate hydratase,[575862:578532](-)
N/A,hypothetical protein,[578938:579202](+)
N/A,hypothetical protein,[579235:579439](-)
N/A,UPF0391 membrane protein,[579443:579629](-)
N/A,hypothetical protein,[579920:580667](+)
N/A,hypothetical protein,[580693:581074](+)
N/A,hypothetical protein,[581083:581812](+)
N/A,hypothetical protein,[581813:582425](+)
N/A,hypothetical protein,[582455:583667](+)
N/A,Ferrioxamine receptor,[583918:586153](+)
N/A,hypothetical protein,[586256:587306](+)
ghrA,Glyoxylate reductase (NADP(+)),[587302:588229](+)
N/A,(S)-2-haloacid dehalogenase,[588462:589131](+)
puuB,putative oxidoreductase OrdL,[589139:590423](+)
N/A,hypothetical protein,[590419:591955](+)
N/A,Glutathione transport system permease protein GsiC,[591954:592935](+)
N/A,Dipeptide transport system permease protein DppC,[592931:593753](+)
N/A,Oligopeptide transport ATP-binding protein OppD,[593749:595567](+)
N/A,hypothetical protein,[595563:595872](+)
N/A,Opine oxidase subunit,[595853:597227](+)
N/A,Sarcosine oxidase,[597223:598360](+)
betB,Betaine-aldehyde dehydrogenase,[598491:599964](-)
N/A,hypothetical protein,[600164:601022](+)
N/A,Succinate-semialdehyde dehydrogenase (NAD(P)(+)),[601018:602482](+)
ttuC,Tartrate dehydrogenase,[602589:603666](+)
pop2,4-aminobutyrate--pyruvate transaminase,[603911:605297](+)
N/A,Bkd operon transcriptional regulator,[605318:605813](+)
hipO,Hippurate hydrolase,[605809:606955](+)
N/A,Copper resistance protein,[606944:607664](-)
N/A,Copper resistance protein,[607798:608752](-)
N/A,L-ascorbate oxidase,[608748:610503](-)
N/A,RNA polymerase sigma factor CnrH,[610532:611114](-)
N/A,Nickel and cobalt resistance protein CnrR,[611110:611554](-)
N/A,hypothetical protein,[611554:611821](-)
N/A,Copper resistance protein,[611960:612338](+)
N/A,Copper resistance protein D,[612341:613247](+)
gyaR,Glyoxylate reductase,[613243:614242](-)
N/A,hypothetical protein,[614491:614839](+)
N/A,putative transporter YclF,[614843:616424](-)
N/A,Putative NAD(P)H nitroreductase,[616534:617113](+)
N/A,putative HTH-type transcriptional regulator YhcF,[617185:617530](+)
N/A,Putative response regulator NtrX-like,[617586:618915](-)
N/A,putative C4-dicarboxylate sensor kinase,[618914:620984](-)
N/A,putative sugar transferase EpsL,[620993:622382](-)
N/A,hypothetical protein,[622556:622772](-)
N/A,ECF RNA polymerase sigma factor EcfG,[622887:623550](-)
N/A,hypothetical protein,[623659:623800](-)
N/A,Phyllosphere-induced regulator PhyR,[623893:624688](-)
N/A,hypothetical protein,[624989:625316](-)
N/A,putative sensor histidine kinase pdtaS,[625391:626942](+)
N/A,tRNA-guanine(34) transglycosylase,[626945:628076](-)
N/A,hypothetical protein,[628167:628347](-)
N/A,"Methylglutaconyl-CoA hydratase, mitochondrial",[628642:629542](+)
adrA,Diguanylate cyclase,[629549:631508](-)
N/A,60 kDa chaperonin,[631784:633431](-)
N/A,10 kDa chaperonin,[633532:633820](-)
N/A,putative GST-like protein,[634195:635068](+)
ligA,DNA ligase (NAD(+)),[635284:637429](-)
N/A,DNA repair protein RecN,[637461:639123](-)
N/A,Outer membrane protein assembly factor BamD,[639235:640021](-)
N/A,hypothetical protein,[640088:641105](-)
N/A,Polyribonucleotide nucleotidyltransferase,[641244:643578](-)
N/A,30S ribosomal protein S15,[643755:644025](-)
truB,tRNA pseudouridine(55) synthase,[644040:645024](-)
N/A,Ribosome-binding factor,[645056:645455](-)
N/A,Translation initiation factor IF-2,[645553:648148](-)
N/A,hypothetical protein,[648218:648875](-)
praC,2-hydroxymuconate tautomerase,[649046:649298](-)
N/A,Transcription termination/antitermination protein NusA,[649304:650876](-)
N/A,Ribosome maturation factor RimP,[650889:651414](-)
N/A,Soluble aldose sugar dehydrogenase YliI,[651658:652801](+)
pyrG,CTP synthase (glutamine hydrolyzing),[652987:654619](-)
N/A,hypothetical protein,[654709:655090](-)
tpiA,Triose-phosphate isomerase,[655285:656029](-)
ppiD,Peptidylprolyl isomerase,[656198:658151](+)
trpE,Anthranilate synthase,[658152:659682](+)
N/A,hypothetical protein,[659682:659955](-)
N/A,hypothetical protein,[660018:660744](-)
N/A,hypothetical protein,[660747:661575](-)
N/A,hypothetical protein,[661871:662804](+)
pccA,Propionyl-CoA carboxylase,[662858:664739](-)
N/A,Methylcrotonoyl-CoA carboxylase,[664735:666337](-)
N/A,hypothetical protein,[666400:666739](+)
N/A,Isovaleryl-CoA dehydrogenase,[666740:667886](-)
N/A,HTH-type transcriptional regulator XapR,[667970:668861](+)
queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,[668830:669859](-)
N/A,Peptidylprolyl isomerase,[669899:670652](-)
coaD,Pantetheine-phosphate adenylyltransferase,[670748:671258](-)
ispA,Dimethylallyltranstransferase,[671261:672170](-)
xseB,Exodeoxyribonuclease VII,[672181:672442](-)
N/A,hypothetical protein,[672612:672996](+)
N/A,Inner membrane protein,[673060:673495](-)
purL,Phosphoribosylformylglycinamidine synthase,[673603:675781](+)
bioC,Malonyl-[acyl-carrier protein] O-methyltransferase,[675832:676615](-)
N/A,uncharacterized protein,[676663:677908](+)
N/A,hypothetical protein,[677964:678135](+)
N/A,Ferroxidase,[678294:678774](+)
mutT,8-oxo-dGTP diphosphatase,[678819:679227](-)
N/A,hypothetical protein,[679306:679492](+)
N/A,hypothetical protein,[679625:679787](+)
N/A,Beta-barrel assembly-enhancing protease,[679877:681353](-)
accA,Acetyl-CoA carboxylase,[681429:682374](-)
N/A,Tyrosine recombinase XerC,[682385:683303](-)
N/A,hypothetical protein,[683308:685117](-)
N/A,hypothetical protein,[685121:685310](-)
aroK,Shikimate kinase,[685347:685941](+)
aroB,3-dehydroquinate synthase,[685931:687038](+)
N/A,50S ribosomal protein L31,[687216:687441](-)
fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,[687686:688169](-)
N/A,hypothetical protein,[688178:688841](-)
N/A,Outer membrane protein assembly factor BamA,[688840:691483](-)
rseP,putative protease eep,[691576:692710](-)
N/A,1-deoxy-D-xylulose-5-phosphate reductoisomerase,[692706:693864](-)
cds1,Phosphatidate cytidylyltransferase,[693863:694640](-)
uppS,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",[694643:695387](-)
N/A,Ribosome-recycling factor,[695431:695989](-)
pyrH,UMP kinase,[695995:696721](-)
N/A,Elongation factor Ts,[696879:697806](-)
N/A,30S ribosomal protein S2,[697922:698681](-)
N/A,hypothetical protein,[698929:699157](+)
cho1,CDP-diacylglycerol--serine O-phosphatidyltransferase,[699162:699942](-)
pisD,Phosphatidylserine decarboxylase,[699938:700742](-)
idh1,Isocitrate dehydrogenase (NADP(+)),[700840:702061](+)
N/A,Hydrolase YhcX,[702157:703771](+)
mhpA,3-(3-hydroxy-phenyl)propanoic acid hydroxylase,[703891:705106](-)
karS,Lysine--tRNA ligase,[705159:705357](+)
glmS,Glutamine--fructose-6-phosphate transaminase (isomerizing),[705464:707288](-)
N/A,hypothetical protein,[707381:708239](-)
glmU,UDP-N-acetylglucosamine diphosphorylase,[708235:709585](-)
N/A,Phosphoglycolate phosphatase,[709686:710364](+)
pleD,Diguanylate cyclase,[710494:711667](+)
sthA,NAD(P)(+) transhydrogenase (Si-specific),[711728:713129](-)
N/A,Dihydrolipoyllysine-residue succinyltransferase,[713242:714484](-)
ogdH,Oxoglutarate dehydrogenase (succinyl-transferring),[714492:717288](-)
sucD,Succinate--CoA ligase (ADP-forming),[717375:718260](-)
N/A,Malate dehydrogenase,[718358:719321](-)
N/A,Lactation elevated protein,[719598:720711](-)
N/A,hypothetical protein,[720707:721169](-)
sdhB,Succinate dehydrogenase (quinone),[721173:721962](-)
tagF,CDP-glycerol glycerophosphotransferase,[721970:723329](+)
N/A,N-acetyl-alpha-D-glucosaminyl L-malate synthase,[723414:724557](+)
N/A,Archaetidylinositol phosphate synthase,[724553:725663](+)
N/A,hypothetical protein,[725659:726088](+)
ugp2,UTP--glucose-1-phosphate uridylyltransferase,[726075:726840](-)
N/A,Inner membrane protein YghQ,[726957:728286](+)
N/A,hypothetical protein,[728840:729389](-)
N/A,hypothetical protein,[730263:730596](-)
N/A,hypothetical protein,[730670:730826](+)
N/A,hypothetical protein,[730922:731321](-)
N/A,hypothetical protein,[731439:731649](+)
N/A,hypothetical protein,[732043:732856](-)
lytM,Lysostaphin,[732895:734437](-)
suv3,RNA helicase,[734663:737270](+)
N/A,hypothetical protein,[737262:737559](+)
N/A,Ferredoxin-1,[737642:737981](+)
N/A,RNA polymerase-binding transcription factor CarD,[738284:738812](+)
N/A,hypothetical protein,[738928:739162](-)
ansA,Asparaginase,[739449:739953](-)
proC,Pyrroline-5-carboxylate reductase,[740022:740835](-)
N/A,hypothetical protein,[740846:741371](-)
N/A,hypothetical protein,[741462:741762](-)
N/A,Tryptophan-rich protein TspO,[741809:742358](-)
N/A,Efflux pump membrane transporter BepE,[742381:745486](-)
N/A,uncharacterized protein,[745498:746563](-)
tlyA,23S rRNA (cytidine(1920)-2'-O)-methyltransferase,[746652:747390](-)
dsbD,Protein-disulfide reductase,[747389:749411](-)
phoA,Alkaline phosphatase,[749486:751139](+)
N/A,Serine O-acetyltransferase,[751171:752170](-)
envZ,Histidine kinase,[752281:753613](-)
N/A,Aerobic respiration control protein,[753609:754320](-)
N/A,hypothetical protein,[754516:755365](-)
N/A,Carbonate dehydratase,[755665:757162](-)
N/A,Carbonate dehydratase,[757165:757864](-)
N/A,Transcriptional regulatory protein AfsQ1,[757992:758703](-)
N/A,hypothetical protein,[758699:759137](-)
N/A,hypothetical protein,[759214:759778](-)
N/A,GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase,[760049:761150](+)
N/A,hypothetical protein,[761160:763380](+)
N/A,hypothetical protein,[764065:764278](+)
N/A,Tetracycline repressor protein class C,[764339:765098](+)
N/A,N-acyl-D-amino-acid deacylase,[765205:766942](+)
N/A,hypothetical protein,[766971:768027](+)
N/A,hypothetical protein,[768312:768711](+)
N/A,hypothetical protein,[768866:769091](+)
N/A,hypothetical protein,[769153:769435](-)
N/A,hypothetical protein,[769451:769937](+)
N/A,hypothetical protein,[770838:771315](-)
N/A,Nitrilase,[771311:772142](-)
N/A,Glutaredoxin-3,[772147:772405](-)
N/A,Competence protein,[772449:773199](-)
N/A,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor,[773243:774092](+)
N/A,hypothetical protein,[774192:775161](-)
N/A,hypothetical protein,[775165:775657](-)
N/A,hypothetical protein,[775799:777011](+)
N/A,Lipopolysaccharide export system permease protein LptG,[777015:778116](+)
N/A,hypothetical protein,[778212:779280](-)
N/A,Putative uncharacterized protein YghO,[779338:780580](+)
dagK,Diacylglycerol kinase (ATP),[780631:781522](-)
N/A,hypothetical protein,[781594:782476](+)
N/A,hypothetical protein,[782480:782990](-)
xthA,Exodeoxyribonuclease III,[783056:783830](-)
N/A,Iron-binding protein IscA,[783895:784222](-)
N/A,Lysostaphin,[784303:784948](-)
N/A,uncharacterized protein,[785133:785943](-)
prxQ,Peroxiredoxin,[785939:786401](-)
glnE,[Glutamate--ammonia-ligase] adenylyltransferase,[786384:789105](-)
N/A,hypothetical protein,[789179:789365](+)
N/A,hypothetical protein,[789431:789767](+)
N/A,uncharacterized protein,[789787:790663](-)
N/A,hypothetical protein,[790808:791987](+)
N/A,3-hydroxybutyrate dehydrogenase,[791983:792775](+)
N/A,hypothetical protein,[792808:793117](+)
N/A,Putative glutamate--cysteine ligase 2-3,[793380:794736](+)
N/A,Phosphinothricin acetyltransferase,[794757:795330](+)
N/A,hypothetical protein,[795399:796386](-)
N/A,hypothetical protein,[796382:797246](-)
N/A,hypothetical protein,[797242:797527](-)
N/A,hypothetical protein,[797586:798021](-)
phoR,Histidine kinase,[798110:799373](+)
N/A,hypothetical protein,[799526:800585](+)
N/A,Phosphate transport system permease protein PstC,[800594:801989](+)
N/A,putative ABC transporter permease protein YqgI,[801985:803230](+)
pstB,Phosphate-transporting ATPase,[803235:804024](+)
N/A,Phosphate-specific transport system accessory protein PhoU like protein,[804044:804740](+)
N/A,DNA-binding response regulator MtrA,[804742:805444](+)
N/A,Peptide deformylase,[805652:806183](-)
N/A,Recombination protein RecR,[806214:806811](-)
N/A,Methionyl-tRNA formyltransferase,[806928:807837](+)
truA,tRNA pseudouridine(38-40) synthase,[807931:808675](+)
N/A,uncharacterized protein,[808747:809467](-)
N/A,hypothetical protein,[809720:810071](-)
talA,Transaldolase,[810180:810834](-)
N/A,hypothetical protein,[810977:811643](+)
priA,Primosomal protein N',[811688:813860](+)
N/A,DNA-3-methyladenine glycosylase II,[814358:815420](-)
N/A,hypothetical protein,[815524:817072](+)
N/A,ATP synthase subunit delta,[817140:817824](+)
atpA,H(+)-transporting two-sector ATPase,[817826:819356](+)
N/A,ATP synthase gamma chain,[819470:820355](+)
atpD,H(+)-transporting two-sector ATPase,[820379:821825](+)
N/A,ATP synthase epsilon chain,[821974:822229](+)
N/A,Type IV secretion system protein VirB11,[822443:823970](+)
N/A,hypothetical protein,[824068:824890](+)
N/A,S-adenosylmethionine uptake transporter,[825037:825874](+)
N/A,Peroxiredoxin OsmC,[825865:826297](-)
N/A,hypothetical protein,[826383:826749](+)
N/A,hypothetical protein,[826901:827570](+)
N/A,hypothetical protein,[827665:827857](+)
N/A,Ferrioxamine B receptor,[828029:830483](+)
panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,[830634:831507](+)
N/A,hypothetical protein,[831581:832280](+)
N/A,Outer membrane protein assembly factor BamB,[832242:833640](+)
N/A,GTPase Der,[833756:835127](+)
N/A,hypothetical protein,[835152:835323](+)
N/A,hypothetical protein,[835413:835851](+)
N/A,uncharacterized protein,[835898:836900](+)
N/A,hypothetical protein,[836903:837983](-)
N/A,putative DNA double-strand break repair helicase HerA,[838218:839877](+)
N/A,putative multidrug resistance protein YoeA,[839881:841333](-)
varS,Valine--tRNA ligase,[841369:844069](-)
N/A,hypothetical protein,[844183:844660](-)
N/A,Outer membrane efflux protein BepC,[844676:846143](-)
N/A,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,[846158:846791](-)
N/A,UPF0721 transmembrane protein YjnA,[847075:847867](-)
N/A,Glutathione transferase,[848033:848705](+)
N/A,Nucleoside-diphosphate kinase,[848895:849318](-)
holC,DNA-directed DNA polymerase,[849408:849846](-)
carP,Leucyl aminopeptidase,[849845:851291](-)
N/A,LPS-assembly protein LptD,[851477:853748](+)
surA,Peptidylprolyl isomerase,[853835:855221](+)
pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,[855165:856236](+)
ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,[856225:857065](+)
N/A,Cellulose synthase operon protein,[857166:857766](-)
rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase,[857762:858938](-)
guaB,IMP dehydrogenase,[859049:860507](-)
ftsH,ATP-dependent zinc metalloprotease FtsH,[860802:862752](-)
N/A,hypothetical protein,[862827:863019](-)
tilS,tRNA(Ile)-lysidine synthetase,[863162:864110](-)
N/A,hypothetical protein,[864116:865070](-)
N/A,hypothetical protein,[865163:866075](-)
ptsP,Phosphoenolpyruvate--protein phosphotransferase,[866165:868439](-)
hisC,Histidinol-phosphate transaminase,[868612:869779](+)
N/A,hypothetical protein,[869824:870292](-)
ubiG,2-polyprenyl-6-hydroxyphenol methylase,[870288:870780](-)
N/A,27 kDa antigen Cfp30B,[870797:871595](-)
N/A,Alkaline phosphatase,[871608:871971](-)
N/A,hypothetical protein,[872010:872445](-)
N/A,putative HTH-type transcriptional regulator YdeP,[872582:873251](+)
N/A,hypothetical protein,[873345:874227](-)
fabK,Enoyl-[acyl-carrier-protein] reductase (NADH),[874321:875335](-)
lysC,Aspartate kinase,[875466:876732](-)
N/A,hypothetical protein,[876883:877090](+)
N/A,2-polyprenyl-6-hydroxyphenol methylase,[877131:877869](+)
N/A,Salicylate 1-monooxygenase,[877971:878973](+)
citE,Citryl-CoA lyase,[878990:879806](-)
N/A,Protein QmcA,[879903:880875](+)
N/A,Inner membrane protein YbbJ,[880874:881318](+)
N/A,Iduronate-2-sulfatase,[881495:883370](-)
N/A,Ferredoxin--NADP(+) reductase,[883650:884466](-)
N/A,hypothetical protein,[884641:884953](-)
pckA,Phosphoenolpyruvate carboxykinase (ATP),[885070:886666](-)
N/A,Transcriptional regulatory protein ChvI,[886952:887657](+)
chvG,Histidine kinase,[887625:889221](+)
hprK,HPr kinase/phosphorylase,[889316:889751](+)
N/A,Nucleotide-binding protein,[889747:890686](+)
manX,Protein-N(pi)-phosphohistidine--sugar phosphotransferase,[890708:891113](+)
N/A,Phosphocarrier protein HPr,[891109:891382](+)
N/A,"rRNA methyltransferase 3B, mitochondrial",[891449:892247](+)
N/A,Inner membrane metabolite transport protein,[892249:893563](+)
N/A,50S ribosomal protein L19,[893846:894215](-)
trmD,tRNA (guanine(37)-N(1))-methyltransferase,[894219:894957](-)
N/A,hypothetical protein,[894953:895226](-)
N/A,Ribosome maturation factor RimM,[895241:895736](-)
N/A,30S ribosomal protein S16,[895741:896212](-)
N/A,Signal recognition particle protein,[896260:897709](-)
dapF,Diaminopimelate epimerase,[898099:898882](+)
mtaB,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase,[898884:900219](+)
N/A,Signal recognition particle receptor FtsY,[900211:901153](+)
N/A,putative intracellular septation protein,[901256:901904](+)
N/A,hypothetical protein,[901982:902546](-)
sod2,Superoxide dismutase,[902755:903367](+)
N/A,hypothetical protein,[903491:903926](+)
N/A,hypothetical protein,[903909:904239](-)
N/A,Chaperone protein DnaJ,[904235:904706](-)
cwlA,N-acetylmuramoyl-L-alanine amidase,[905304:906099](-)
cheR,Protein-glutamate O-methyltransferase,[906147:907014](-)
N/A,Chemotaxis response regulator protein-glutamate methylesterase,[907010:908039](-)
N/A,Chemotaxis response regulator protein-glutamate methylesterase,[908145:908511](-)
N/A,hypothetical protein,[908589:909027](-)
cheA,Histidine kinase,[909037:911437](-)
N/A,hypothetical protein,[911541:911817](-)
N/A,Large-conductance mechanosensitive channel,[911963:912392](-)
N/A,Protein LemA,[912494:913100](+)
N/A,UPF0603 protein YgcG,[913107:913908](+)
N/A,hypothetical protein,[913907:914585](+)
nudF,ADP-ribose diphosphatase,[914596:915127](+)
N/A,hypothetical protein,[915131:915590](-)
N/A,hypothetical protein,[915688:916252](+)
N/A,Glycogen(starch) synthase,[916310:917483](+)
nasA,Nitrate reductase,[917479:919051](-)
N/A,hypothetical protein,[919152:919899](-)
N/A,hypothetical protein,[919989:920805](+)
N/A,Capsule polysaccharide export protein KpsS,[920797:922066](-)
N/A,Capsule polysaccharide export protein KpsC,[922058:923657](-)
N/A,Protein RfbU,[923732:925031](-)
N/A,Protein hit,[925082:925523](-)
scoB,3-oxoacid CoA-transferase,[925534:926170](-)
scoA,3-oxoacid CoA-transferase,[926169:926880](-)
thiG,Thiazole synthase,[927059:928061](-)
aroQ,3-dehydroquinate dehydratase,[928174:928615](+)
N/A,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,[928711:929188](+)
N/A,Methylcrotonoyl-CoA carboxylase,[929201:930554](+)
arsC,Arsenate reductase (glutaredoxin),[930550:930901](+)
N/A,Zinc finger protein ZIC,[930992:931745](-)
N/A,hypothetical protein,[931784:932075](-)
dpo1,DNA-directed DNA polymerase,[932207:934994](+)
algA,Mannose-1-phosphate guanylyltransferase,[935099:936557](-)
N/A,hypothetical protein,[936651:936942](-)
N/A,uncharacterized protein,[936944:937784](-)
carS,Cysteine--tRNA ligase,[937972:939490](+)
N/A,hypothetical protein,[939597:939951](+)
aroF,3-deoxy-7-phosphoheptulonate synthase,[940054:941425](+)
N/A,hypothetical protein,[941665:942391](+)
N/A,Virulence plasmid ParA family protein pGP5-D,[942526:943258](+)
N/A,Long-chain-fatty-acid--AMP ligase FadD32,[943429:945199](-)
N/A,hypothetical protein,[945351:945873](+)
N/A,hypothetical protein,[945956:946484](+)
N/A,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit,[946534:946933](+)
N/A,Leucyltransferase,[947384:948137](-)
N/A,Arsenate reductase (glutaredoxin),[948345:948756](-)
N/A,Arsenate reductase (glutaredoxin),[948748:949417](-)
N/A,Arsenate reductase (glutaredoxin),[949413:949773](-)
N/A,Centromere protein,[949903:950323](-)
sdhA,Succinate dehydrogenase (quinone),[950448:952251](-)
N/A,Succinate dehydrogenase hydrophobic membrane anchor subunit,[952250:952640](-)
N/A,Succinate dehydrogenase cytochrome b556 subunit,[952639:953035](-)
N/A,Methyl-accepting chemotaxis protein III,[953203:954535](+)
prmA,Ribosomal protein L11 methyltransferase,[954742:955741](+)
N/A,Carboxymethylenebutenolidase,[956143:956863](+)
N/A,uncharacterized protein,[956910:958041](-)
N/A,uncharacterized protein,[958037:958634](-)
N/A,50S ribosomal protein L36,[958834:958960](+)
N/A,(S)-2-haloacid dehalogenase,[958960:959593](+)
N/A,Pyruvate kinase,[959576:961028](-)
N/A,hypothetical protein,[961133:961433](+)
N/A,UPF0335 protein,[961477:961720](+)
N/A,UPF0145 protein,[961851:962178](+)
N/A,putative transcriptional regulatory protein,[962244:962988](+)
ruvC,Crossover junction endodeoxyribonuclease,[963169:963661](+)
N/A,hypothetical protein,[963784:964063](-)
N/A,Transcriptional regulator YqjI,[964064:964667](-)
N/A,Protein GrpE,[964819:965374](-)
N/A,Heat-inducible transcription repressor HrcA,[965370:966414](-)
N/A,hypothetical protein,[966456:966966](-)
N/A,tRNA nucleotidyltransferase,[967062:967779](+)
rdgB,XTP/dITP diphosphatase,[967882:968512](+)
N/A,hypothetical protein,[968530:969133](-)
hemN,Coproporphyrinogen dehydrogenase,[969191:970367](+)
N/A,Monothiol glutaredoxin-S17,[970387:970720](-)
N/A,Phosphoribosylformylglycinamidine synthase,[970783:971017](-)
hpaI,4-hydroxy-2-oxoheptanedioate aldolase,[971035:971359](-)
leu1,3-isopropylmalate dehydratase,[971416:972010](-)
N/A,hypothetical protein,[972009:972123](-)
leuC,3-isopropylmalate dehydratase,[972119:973574](-)
N/A,Glutathione transferase,[973669:974356](-)
N/A,hypothetical protein,[974440:974815](-)
N/A,hypothetical protein,[974839:975046](-)
N/A,hypothetical protein,[975092:976043](-)
N/A,hypothetical protein,[976162:977689](+)
N/A,hypothetical protein,[977708:978131](+)
N/A,Ribonuclease T(2),[978134:978932](-)
nadC,Nicotinate-nucleotide diphosphorylase (carboxylating),[978924:979788](-)
N/A,hypothetical protein,[979876:980362](+)
nadA,Quinolinate synthase,[980380:981367](-)
gloB,Hydroxyacylglutathione hydrolase,[981445:982321](-)
N/A,Tyrosine recombinase XerC,[982494:983382](+)
N/A,Alkaline phosphatase,[983525:984125](-)
gshB,Glutathione synthase,[984213:985188](-)
rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,[985680:986523](-)
N/A,hypothetical protein,[986534:987734](+)
malK,Hemin import ATP-binding protein HmuV,[987829:988609](-)
N/A,Vitamin B12 import system permease protein BtuC,[988602:989598](-)
N/A,hypothetical protein,[989657:990467](+)
N/A,Vitamin B12 transporter BtuB,[990503:992342](-)
mobA,Molybdenum cofactor guanylyltransferase,[992820:993357](+)
N/A,Uroporphyrinogen-III C-methyltransferase,[993439:994222](-)
N/A,Nitrate reductase,[994208:996821](-)
nirD,Nitrite reductase (NADH),[996932:997268](-)
nirB,Nitrite reductase (NADH),[997273:999781](-)
N/A,Nitrate transporter,[1000074:1001319](-)
N/A,Nitrate transport ATP-binding protein NrtC,[1001558:1002761](-)
N/A,putative transcriptional regulatory protein pdtaR,[1002757:1003339](-)
bioM,Biotin transport ATP-binding protein BioM,[1003526:1005107](+)
N/A,Antiseptic resistance protein,[1005100:1006624](-)
N/A,putative multidrug resistance protein EmrK,[1006635:1007784](-)
N/A,Fusaric acid resistance protein FusA,[1007776:1009288](-)
N/A,hypothetical protein,[1009376:1010048](+)
N/A,Phosphate regulon transcriptional regulatory protein,[1010099:1010723](+)
N/A,Zinc transport protein ZntB,[1010726:1011683](-)
cysG,Uroporphyrinogen-III C-methyltransferase,[1011679:1012438](-)
N/A,Diaminopimelate decarboxylase,[1012437:1013703](-)
N/A,hypothetical protein,[1013725:1013989](-)
N/A,Argininosuccinate lyase,[1013985:1015353](-)
N/A,Thiol:disulfide interchange protein TlpA,[1015396:1015993](+)
N/A,hypothetical protein,[1016177:1018796](+)
N/A,UPF0434 protein,[1018900:1019074](-)
N/A,hypothetical protein,[1019070:1019742](-)
N/A,Thioredoxin,[1019693:1020605](-)
N/A,hypothetical protein,[1020687:1021530](-)
N/A,hypothetical protein,[1021602:1022040](-)
erg3,Delta(7)-sterol 5(6)-desaturase,[1022036:1022765](-)
N/A,Prephenate dehydratase,[1022814:1023705](-)
N/A,Cytochrome,[1023795:1024551](+)
glyK,Glycerate 3-kinase,[1024720:1025572](-)
N/A,UPF0053 inner membrane protein,[1025568:1026885](-)
N/A,putative lipoprotein YiaD,[1027039:1027720](+)
N/A,UPF0056 membrane protein,[1027789:1028407](-)
N/A,hypothetical protein,[1028403:1029060](-)
folD,Methylenetetrahydrofolate dehydrogenase (NADP(+)),[1029056:1029950](-)
N/A,UPF0235 protein,[1029996:1030335](-)
N/A,uncharacterized protein,[1030331:1030622](-)
argB,Acetylglutamate kinase,[1030816:1031734](-)
N/A,Exopolyphosphatase,[1031816:1033331](-)
N/A,Polyphosphate kinase,[1033336:1035475](-)
N/A,hypothetical protein,[1035482:1036118](-)
N/A,hypothetical protein,[1036114:1037479](-)
purM,Phosphoribosylformylglycinamidine cyclo-ligase,[1037560:1038655](+)
purN,Phosphoribosylglycinamide formyltransferase,[1038797:1039748](+)
N/A,Energy-coupling factor transporter ATP-binding protein EcfA2,[1039823:1040750](+)
nadB,L-aspartate oxidase,[1041210:1042815](+)
N/A,hypothetical protein,[1042815:1043661](-)
N/A,Beta-lactamase,[1043756:1044965](+)
metH,Methionine synthase,[1045119:1047720](-)
N/A,Methionine synthase,[1047836:1048883](-)
metF,Methylenetetrahydrofolate reductase (NAD(P)H),[1049023:1049956](-)
N/A,Transcriptional repressor SdpR,[1049952:1050924](-)
N/A,hypothetical protein,[1051139:1051367](+)
N/A,hypothetical protein,[1051521:1051932](-)
N/A,hypothetical protein,[1052167:1053208](+)
N/A,50S ribosomal protein L28,[1053385:1053679](-)
